,NonError,Error,Accuracy
68,111.0,4.0,0.9652173913043478
69,110.0,5.0,0.9565217391304348
70,111.0,4.0,0.9652173913043478
71,111.0,4.0,0.9652173913043478
72,111.0,4.0,0.9652173913043478
73,110.0,5.0,0.9565217391304348
74,111.0,4.0,0.9652173913043478
75,111.0,4.0,0.9652173913043478
76,111.0,4.0,0.9652173913043478
77,111.0,4.0,0.9652173913043478
78,111.0,4.0,0.9652173913043478
79,111.0,4.0,0.9652173913043478
80,111.0,4.0,0.9652173913043478
81,111.0,4.0,0.9652173913043478
82,111.0,4.0,0.9652173913043478
83,111.0,4.0,0.9652173913043478
84,111.0,4.0,0.9652173913043478
85,111.0,4.0,0.9652173913043478
86,111.0,4.0,0.9652173913043478
87,111.0,4.0,0.9652173913043478
88,111.0,4.0,0.9652173913043478
89,111.0,4.0,0.9652173913043478
90,111.0,4.0,0.9652173913043478
91,111.0,4.0,0.9652173913043478
92,111.0,4.0,0.9652173913043478
93,111.0,4.0,0.9652173913043478
94,111.0,4.0,0.9652173913043478
95,111.0,4.0,0.9652173913043478
96,111.0,4.0,0.9652173913043478
97,111.0,4.0,0.9652173913043478
98,111.0,4.0,0.9652173913043478
99,111.0,4.0,0.9652173913043478
100,111.0,4.0,0.9652173913043478
101,111.0,4.0,0.9652173913043478
102,111.0,4.0,0.9652173913043478
103,111.0,4.0,0.9652173913043478
104,111.0,4.0,0.9652173913043478
105,111.0,4.0,0.9652173913043478
106,111.0,4.0,0.9652173913043478
107,111.0,4.0,0.9652173913043478
108,111.0,4.0,0.9652173913043478
109,111.0,4.0,0.9652173913043478
110,111.0,4.0,0.9652173913043478
111,111.0,4.0,0.9652173913043478
112,111.0,4.0,0.9652173913043478
113,111.0,4.0,0.9652173913043478
114,111.0,4.0,0.9652173913043478
115,111.0,4.0,0.9652173913043478
116,111.0,4.0,0.9652173913043478
117,111.0,4.0,0.9652173913043478
118,111.0,4.0,0.9652173913043478
119,111.0,4.0,0.9652173913043478
120,111.0,4.0,0.9652173913043478
121,111.0,4.0,0.9652173913043478
122,111.0,4.0,0.9652173913043478
123,111.0,4.0,0.9652173913043478
124,108.0,7.0,0.9391304347826087
125,111.0,4.0,0.9652173913043478
126,111.0,4.0,0.9652173913043478
127,111.0,4.0,0.9652173913043478
128,111.0,4.0,0.9652173913043478
129,111.0,4.0,0.9652173913043478
130,111.0,4.0,0.9652173913043478
131,111.0,4.0,0.9652173913043478
132,111.0,4.0,0.9652173913043478
133,111.0,4.0,0.9652173913043478
134,111.0,4.0,0.9652173913043478
135,111.0,4.0,0.9652173913043478
136,111.0,4.0,0.9652173913043478
137,111.0,4.0,0.9652173913043478
138,111.0,4.0,0.9652173913043478
139,111.0,4.0,0.9652173913043478
140,111.0,4.0,0.9652173913043478
141,111.0,4.0,0.9652173913043478
142,111.0,4.0,0.9652173913043478
143,111.0,4.0,0.9652173913043478
144,111.0,4.0,0.9652173913043478
145,111.0,4.0,0.9652173913043478
146,111.0,4.0,0.9652173913043478
147,111.0,4.0,0.9652173913043478
148,111.0,4.0,0.9652173913043478
149,111.0,4.0,0.9652173913043478
150,111.0,4.0,0.9652173913043478
151,111.0,4.0,0.9652173913043478
152,111.0,4.0,0.9652173913043478
153,111.0,4.0,0.9652173913043478
154,111.0,4.0,0.9652173913043478
155,111.0,4.0,0.9652173913043478
156,111.0,4.0,0.9652173913043478
157,111.0,4.0,0.9652173913043478
158,111.0,4.0,0.9652173913043478
159,111.0,4.0,0.9652173913043478
160,111.0,4.0,0.9652173913043478
161,111.0,4.0,0.9652173913043478
162,111.0,4.0,0.9652173913043478
163,111.0,4.0,0.9652173913043478
164,111.0,4.0,0.9652173913043478
165,111.0,4.0,0.9652173913043478
166,111.0,4.0,0.9652173913043478
167,111.0,4.0,0.9652173913043478
168,111.0,4.0,0.9652173913043478
169,111.0,4.0,0.9652173913043478
170,111.0,4.0,0.9652173913043478
171,111.0,4.0,0.9652173913043478
172,111.0,4.0,0.9652173913043478
173,111.0,4.0,0.9652173913043478
174,111.0,4.0,0.9652173913043478
175,111.0,4.0,0.9652173913043478
176,111.0,4.0,0.9652173913043478
177,111.0,4.0,0.9652173913043478
178,111.0,4.0,0.9652173913043478
179,111.0,4.0,0.9652173913043478
180,111.0,4.0,0.9652173913043478
181,111.0,4.0,0.9652173913043478
182,111.0,4.0,0.9652173913043478
183,111.0,4.0,0.9652173913043478
184,111.0,4.0,0.9652173913043478
185,111.0,4.0,0.9652173913043478
186,111.0,4.0,0.9652173913043478
187,111.0,4.0,0.9652173913043478
188,111.0,4.0,0.9652173913043478
189,111.0,4.0,0.9652173913043478
190,111.0,4.0,0.9652173913043478
191,111.0,4.0,0.9652173913043478
192,111.0,4.0,0.9652173913043478
193,111.0,4.0,0.9652173913043478
194,111.0,4.0,0.9652173913043478
195,111.0,4.0,0.9652173913043478
196,111.0,4.0,0.9652173913043478
197,111.0,4.0,0.9652173913043478
198,111.0,4.0,0.9652173913043478
199,111.0,4.0,0.9652173913043478
200,111.0,4.0,0.9652173913043478
201,111.0,4.0,0.9652173913043478
202,111.0,4.0,0.9652173913043478
203,111.0,4.0,0.9652173913043478
204,111.0,4.0,0.9652173913043478
205,111.0,4.0,0.9652173913043478
206,111.0,4.0,0.9652173913043478
207,111.0,4.0,0.9652173913043478
208,111.0,4.0,0.9652173913043478
209,111.0,4.0,0.9652173913043478
210,111.0,4.0,0.9652173913043478
211,111.0,4.0,0.9652173913043478
212,111.0,4.0,0.9652173913043478
213,111.0,4.0,0.9652173913043478
214,111.0,4.0,0.9652173913043478
215,111.0,4.0,0.9652173913043478
216,111.0,4.0,0.9652173913043478
217,111.0,4.0,0.9652173913043478
218,111.0,4.0,0.9652173913043478
219,111.0,4.0,0.9652173913043478
220,111.0,4.0,0.9652173913043478
221,111.0,4.0,0.9652173913043478
222,111.0,4.0,0.9652173913043478
223,111.0,4.0,0.9652173913043478
224,111.0,4.0,0.9652173913043478
225,111.0,4.0,0.9652173913043478
226,111.0,4.0,0.9652173913043478
227,111.0,4.0,0.9652173913043478
228,111.0,4.0,0.9652173913043478
229,111.0,4.0,0.9652173913043478
230,111.0,4.0,0.9652173913043478
231,111.0,4.0,0.9652173913043478
232,111.0,4.0,0.9652173913043478
233,111.0,4.0,0.9652173913043478
234,111.0,4.0,0.9652173913043478
235,111.0,4.0,0.9652173913043478
236,111.0,4.0,0.9652173913043478
237,111.0,4.0,0.9652173913043478
238,111.0,4.0,0.9652173913043478
239,111.0,4.0,0.9652173913043478
240,111.0,4.0,0.9652173913043478
241,111.0,4.0,0.9652173913043478
242,111.0,4.0,0.9652173913043478
243,111.0,4.0,0.9652173913043478
